iteration,reward_mean,length_mean,games,loss
1000,-1.0,2.0,9,0.14243191480636597
2000,-0.9,2.1,10,0.0547296367585659
3000,-1.0,2.0,8,0.05381765961647034
4000,-1.0,2.0,8,0.05367499217391014
5000,-0.56,2.0,9,0.0241077970713377
6000,-0.4,2.0,10,0.009857126511633396
7000,0.0,2.0,8,0.012760503217577934
8000,-0.12,2.0,8,0.028668705374002457
9000,0.12,2.12,8,0.03031466156244278
10000,0.0,2.0,8,0.006265886127948761
11000,0.12,2.12,8,0.009749720804393291
12000,0.12,2.25,8,0.005206437315791845
13000,0.0,2.12,8,0.007085764780640602
14000,0.12,2.12,8,0.03256186842918396
15000,0.12,2.25,8,0.0036395920906215906
16000,0.25,2.5,8,0.003033670596778393
17000,0.25,2.25,8,0.01441356260329485
18000,0.5,2.75,8,0.006812971085309982
19000,0.12,2.25,8,0.066620372235775
20000,0.62,3.0,8,0.008441279642283916
21000,0.7,3.2,10,0.0052923839539289474
22000,0.88,3.0,8,0.01467721164226532
23000,0.88,3.12,8,0.013476444408297539
24000,1.22,3.44,9,0.010348350740969181
25000,0.7,3.1,10,0.016271105036139488
26000,0.62,2.75,8,0.005695343483239412
27000,0.88,2.88,8,0.012033037841320038
28000,0.75,2.75,8,0.01223465520888567
29000,0.38,2.38,8,0.02107805758714676
30000,1.0,3.38,8,0.0149271534755826
31000,1.12,3.38,8,0.010967684909701347
32000,1.43,3.93,14,0.048968151211738586
33000,0.75,2.75,8,0.05229738727211952
34000,1.09,3.64,11,0.026417430490255356
35000,2.25,4.88,8,0.02299082651734352
36000,1.55,4.18,11,0.03009381704032421
37000,3.25,6.25,8,0.05247602239251137
38000,2.25,5.25,8,0.028344137594103813
39000,3.38,6.38,8,0.057654883712530136
40000,3.0,6.0,8,0.061681561172008514
41000,3.75,6.75,8,0.02317611314356327
42000,2.25,5.25,8,0.0472237765789032
43000,3.75,6.75,8,0.06852977722883224
44000,1.67,4.0,9,0.03600647300481796
45000,2.78,5.78,9,0.025524821132421494
46000,2.22,4.67,9,0.10057620704174042
47000,2.88,5.88,8,0.036344535648822784
48000,3.62,6.62,8,0.02028774842619896
49000,4.25,7.25,8,0.06121613457798958
50000,3.25,6.25,8,0.02681906521320343
51000,3.12,6.12,8,0.06114339455962181
52000,5.5,8.5,8,0.1364373117685318
53000,2.88,5.88,8,0.09287557750940323
54000,4.33,7.33,9,0.11256999522447586
55000,4.0,7.0,8,0.1205565333366394
56000,4.0,7.0,8,0.09985116869211197
57000,5.0,8.0,8,0.05825040116906166
58000,4.5,7.5,8,0.036439504474401474
59000,3.25,6.25,8,0.03239589184522629
60000,6.38,9.38,8,0.027041956782341003
61000,5.62,8.62,8,0.08521287143230438
62000,5.0,8.0,9,0.1392383873462677
63000,4.0,7.0,8,0.02594941109418869
64000,6.5,9.5,8,0.02134677954018116
65000,5.0,8.0,8,0.039565421640872955
66000,8.88,11.88,8,0.15677300095558167
67000,7.5,10.5,8,0.04553918540477753
68000,6.38,9.38,8,0.030342401936650276
69000,6.0,9.0,8,0.030342526733875275
70000,6.12,9.12,8,0.03949155658483505
71000,5.62,8.62,8,0.0333271287381649
72000,11.12,14.12,8,0.025650516152381897
73000,5.25,8.25,8,0.04780895635485649
74000,7.5,10.5,8,0.03264116868376732
75000,5.0,8.0,8,0.10109704732894897
76000,7.88,10.88,8,0.05586644262075424
77000,6.12,9.12,8,0.12465112656354904
